state_id,state,optimal_action,visits_in_data,Q[Move-Forward],Q[Slight-Right-Turn],Q[Sharp-Right-Turn],Q[Slight-Left-Turn]
0,front=near|left=too_close|right=near|back=near,Move-Forward,0,-50.0,-50.0,-50.0,-50.0
1,front=near|left=too_close|right=near|back=far,Sharp-Right-Turn,27,-10.1693,-10.1693,-7.1693,-10.1693
2,front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,124,5.981,5.981,8.981,5.981
3,front=near|left=too_close|right=mid|back=far,Sharp-Right-Turn,128,0.8601,0.8601,3.8601,0.8601
4,front=near|left=too_close|right=far|back=near,Sharp-Right-Turn,67,5.4643,5.4643,8.4643,5.4643
5,front=near|left=too_close|right=far|back=far,Sharp-Right-Turn,153,-5.3578,-5.3578,-2.3578,-5.3578
6,front=near|left=ideal|right=near|back=near,Move-Forward,0,-10.0,-10.0,-10.0,-10.0
7,front=near|left=ideal|right=near|back=far,Sharp-Right-Turn,47,16.8641,16.8641,19.8641,16.8641
8,front=near|left=ideal|right=mid|back=near,Sharp-Right-Turn,361,26.9329,26.9329,29.9329,26.9329
9,front=near|left=ideal|right=mid|back=far,Sharp-Right-Turn,298,19.9339,19.9339,22.9339,19.9339
10,front=near|left=ideal|right=far|back=near,Sharp-Right-Turn,122,20.7253,20.7253,23.7253,20.7253
11,front=near|left=ideal|right=far|back=far,Sharp-Right-Turn,258,17.6493,17.6493,20.6493,17.6493
12,front=near|left=far|right=near|back=near,Move-Forward,0,-35.0,-35.0,-35.0,-35.0
13,front=near|left=far|right=near|back=far,Sharp-Right-Turn,42,-5.2522,-5.2522,-2.2522,-5.2522
14,front=near|left=far|right=mid|back=near,Sharp-Right-Turn,16,19.1244,19.1244,22.1244,19.1244
15,front=near|left=far|right=mid|back=far,Sharp-Right-Turn,18,14.5044,14.5044,17.5044,14.5044
16,front=near|left=far|right=far|back=near,Sharp-Right-Turn,3,21.5209,21.5209,24.5209,21.5209
17,front=near|left=far|right=far|back=far,Sharp-Right-Turn,13,12.3872,12.3872,15.3872,12.3872
18,front=near|left=lost|right=near|back=near,Move-Forward,0,-50.0,-50.0,-50.0,-50.0
19,front=near|left=lost|right=near|back=far,Sharp-Right-Turn,5,-10.5193,-10.5193,-7.5193,-10.5193
20,front=near|left=lost|right=mid|back=near,Move-Forward,0,-50.0,-50.0,-50.0,-50.0
21,front=near|left=lost|right=mid|back=far,Move-Forward,0,-50.0,-50.0,-50.0,-50.0
22,front=near|left=lost|right=far|back=near,Move-Forward,0,-50.0,-50.0,-50.0,-50.0
