state_id,state,optimal_value
0,front=near|left=too_close|right=near|back=near,-49.999992
1,front=near|left=too_close|right=near|back=far,-7.169281
2,front=near|left=too_close|right=mid|back=near,8.980986
3,front=near|left=too_close|right=mid|back=far,3.860114
4,front=near|left=too_close|right=far|back=near,8.46429
5,front=near|left=too_close|right=far|back=far,-2.35776
6,front=near|left=ideal|right=near|back=near,-9.999998
7,front=near|left=ideal|right=near|back=far,19.864137
8,front=near|left=ideal|right=mid|back=near,29.932855
9,front=near|left=ideal|right=mid|back=far,22.933888
10,front=near|left=ideal|right=far|back=near,23.725346
11,front=near|left=ideal|right=far|back=far,20.649293
12,front=near|left=far|right=near|back=near,-34.999994
13,front=near|left=far|right=near|back=far,-2.252233
14,front=near|left=far|right=mid|back=near,22.124438
15,front=near|left=far|right=mid|back=far,17.504429
16,front=near|left=far|right=far|back=near,24.520886
17,front=near|left=far|right=far|back=far,15.387154
18,front=near|left=lost|right=near|back=near,-49.999992
19,front=near|left=lost|right=near|back=far,-7.519294
20,front=near|left=lost|right=mid|back=near,-49.999992
21,front=near|left=lost|right=mid|back=far,-49.999992
22,front=near|left=lost|right=far|back=near,-49.999992
23,front=near|left=lost|right=far|back=far,-49.999992
24,front=mid|left=too_close|right=near|back=near,-19.999997
25,front=mid|left=too_close|right=near|back=far,-19.999997
26,front=mid|left=too_close|right=mid|back=near,34.742542
27,front=mid|left=too_close|right=mid|back=far,31.561311
28,front=mid|left=too_close|right=far|back=near,27.524931
29,front=mid|left=too_close|right=far|back=far,16.875307
30,front=mid|left=ideal|right=near|back=near,40.407072
31,front=mid|left=ideal|right=near|back=far,29.855703
32,front=mid|left=ideal|right=mid|back=near,41.207486
33,front=mid|left=ideal|right=mid|back=far,38.275311
34,front=mid|left=ideal|right=far|back=near,40.849094
35,front=mid|left=ideal|right=far|back=far,37.2451
36,front=mid|left=far|right=near|back=near,-4.999999
37,front=mid|left=far|right=near|back=far,13.792657
38,front=mid|left=far|right=mid|back=near,29.045611
39,front=mid|left=far|right=mid|back=far,32.167477
40,front=mid|left=far|right=far|back=near,-4.999999
41,front=mid|left=far|right=far|back=far,23.142558
42,front=mid|left=lost|right=near|back=near,-19.999997
43,front=mid|left=lost|right=near|back=far,14.913391
44,front=mid|left=lost|right=mid|back=near,-19.999997
45,front=mid|left=lost|right=mid|back=far,30.476741
46,front=mid|left=lost|right=far|back=near,-19.999997
47,front=mid|left=lost|right=far|back=far,-19.999997
48,front=far|left=too_close|right=near|back=near,-14.999997
49,front=far|left=too_close|right=near|back=far,-14.999997
50,front=far|left=too_close|right=mid|back=near,27.864243
51,front=far|left=too_close|right=mid|back=far,23.763587
52,front=far|left=too_close|right=far|back=near,27.507206
53,front=far|left=too_close|right=far|back=far,37.984549
54,front=far|left=ideal|right=near|back=near,24.999996
55,front=far|left=ideal|right=near|back=far,24.999996
56,front=far|left=ideal|right=mid|back=near,43.761894
57,front=far|left=ideal|right=mid|back=far,36.787103
58,front=far|left=ideal|right=far|back=near,40.138199
59,front=far|left=ideal|right=far|back=far,39.30823
60,front=far|left=far|right=near|back=near,0.0
61,front=far|left=far|right=near|back=far,0.0
62,front=far|left=far|right=mid|back=near,28.939569
63,front=far|left=far|right=mid|back=far,32.414836
64,front=far|left=far|right=far|back=near,0.0
65,front=far|left=far|right=far|back=far,31.774164
66,front=far|left=lost|right=near|back=near,-14.999997
67,front=far|left=lost|right=near|back=far,-14.999997
68,front=far|left=lost|right=mid|back=near,-14.999997
69,front=far|left=lost|right=mid|back=far,38.608392
70,front=far|left=lost|right=far|back=near,-14.999997
71,front=far|left=lost|right=far|back=far,-14.999997
