state,visits,Move-Forward,Slight-Right-Turn,Sharp-Right-Turn,Slight-Left-Turn
front=near|left=too_close|right=near|back=near,0,-5.0,-5.0,-5.0,-5.0
front=near|left=too_close|right=near|back=far,27,-5.0,-5.0,-2.0,-5.0
front=near|left=too_close|right=mid|back=near,124,-4.5363,-4.5363,-1.5363,-4.5363
front=near|left=too_close|right=mid|back=far,128,-4.6172,-4.6172,-1.6172,-4.6172
front=near|left=too_close|right=far|back=near,67,-4.4254,-4.4254,-1.4254,-4.4254
front=near|left=too_close|right=far|back=far,153,-4.8529,-4.8529,-1.8529,-4.8529
front=near|left=ideal|right=near|back=near,0,-1.0,-1.0,-1.0,-1.0
front=near|left=ideal|right=near|back=far,47,-1.0851,-1.0851,1.9149,-1.0851
front=near|left=ideal|right=mid|back=near,361,-0.7008,-0.7008,2.2992,-0.7008
front=near|left=ideal|right=mid|back=far,298,-1.0067,-1.0067,1.9933,-1.0067
front=near|left=ideal|right=far|back=near,122,-1.0697,-1.0697,1.9303,-1.0697
front=near|left=ideal|right=far|back=far,258,-1.0368,-1.0368,1.9632,-1.0368
front=near|left=far|right=near|back=near,0,-3.5,-3.5,-3.5,-3.5
front=near|left=far|right=near|back=far,42,-3.5357,-3.5357,-0.5357,-3.5357
front=near|left=far|right=mid|back=near,16,-2.4062,-2.4062,0.5938,-2.4062
front=near|left=far|right=mid|back=far,18,-2.6667,-2.6667,0.3333,-2.6667
front=near|left=far|right=far|back=near,3,-1.6667,-1.6667,1.3333,-1.6667
front=near|left=far|right=far|back=far,13,-3.1154,-3.1154,-0.1154,-3.1154
front=near|left=lost|right=near|back=near,0,-5.0,-5.0,-5.0,-5.0
front=near|left=lost|right=near|back=far,5,-4.7,-4.7,-1.7,-4.7
front=near|left=lost|right=mid|back=near,0,-5.0,-5.0,-5.0,-5.0
front=near|left=lost|right=mid|back=far,0,-5.0,-5.0,-5.0,-5.0
front=near|left=lost|right=far|back=near,0,-5.0,-5.0,-5.0,-5.0
front=near|left=lost|right=far|back=far,0,-5.0,-5.0,-5.0,-5.0
front=mid|left=too_close|right=near|back=near,0,-2.0,-2.0,-2.0,-2.0
front=mid|left=too_close|right=near|back=far,0,-2.0,-2.0,-2.0,-2.0
front=mid|left=too_close|right=mid|back=near,77,0.5584,0.6344,-1.8766,-1.8766
front=mid|left=too_close|right=mid|back=far,178,0.1348,0.8887,-1.8876,-1.8876
front=mid|left=too_close|right=far|back=near,55,-0.1273,1.0873,-1.5273,-1.5273
front=mid|left=too_close|right=far|back=far,15,-1.6,-0.4222,-4.8,-2.5333
front=mid|left=ideal|right=near|back=near,2,5.0,2.0,2.0,2.0
front=mid|left=ideal|right=near|back=far,43,4.3488,1.3488,1.3488,1.3488
front=mid|left=ideal|right=mid|back=near,445,4.8418,1.8494,0.0202,1.8494
front=mid|left=ideal|right=mid|back=far,308,4.706,1.7078,-0.9805,1.7078
front=mid|left=ideal|right=far|back=near,150,4.8961,1.8967,-0.98,1.8967
front=mid|left=ideal|right=far|back=far,216,4.8009,1.8009,1.8009,1.8009
front=mid|left=far|right=near|back=near,0,-0.5,-0.5,-0.5,-0.5
front=mid|left=far|right=near|back=far,16,-0.7812,-0.7812,-0.7812,2.2188
front=mid|left=far|right=mid|back=near,1,0.0,0.0,0.0,3.0
front=mid|left=far|right=mid|back=far,33,0.9318,-0.697,-0.697,2.0279
front=mid|left=far|right=far|back=near,0,-0.5,-0.5,-0.5,-0.5
front=mid|left=far|right=far|back=far,10,-0.8,-0.8,-0.8,2.2
front=mid|left=lost|right=near|back=near,0,-2.0,-2.0,-2.0,-2.0
front=mid|left=lost|right=near|back=far,1,-0.5,-0.5,-0.5,2.5
front=mid|left=lost|right=mid|back=near,0,-2.0,-2.0,-2.0,-2.0
front=mid|left=lost|right=mid|back=far,46,-1.2391,-1.2391,-1.2391,1.7609
front=mid|left=lost|right=far|back=near,0,-2.0,-2.0,-2.0,-2.0
front=mid|left=lost|right=far|back=far,0,-2.0,-2.0,-2.0,-2.0
front=far|left=too_close|right=near|back=near,0,-1.5,-1.5,-1.5,-1.5
front=far|left=too_close|right=near|back=far,0,-1.5,-1.5,-1.5,-1.5
front=far|left=too_close|right=mid|back=near,66,-1.3636,1.5779,-1.2955,-1.2955
front=far|left=too_close|right=mid|back=far,222,-0.7044,1.4526,-1.4167,-1.4167
front=far|left=too_close|right=far|back=near,75,-1.1667,1.8333,-1.1667,-1.1667
front=far|left=too_close|right=far|back=far,28,2.6071,1.2632,-1.4821,-1.4821
front=far|left=ideal|right=near|back=near,0,2.5,2.5,2.5,2.5
front=far|left=ideal|right=near|back=far,0,2.5,2.5,2.5,2.5
front=far|left=ideal|right=mid|back=near,337,5.3012,2.3012,2.3012,2.3012
front=far|left=ideal|right=mid|back=far,132,4.9618,1.9618,1.9618,1.9618
front=far|left=ideal|right=far|back=near,96,5.0625,2.0625,2.0625,2.0625
front=far|left=ideal|right=far|back=far,14,5.0,2.0,2.0,2.0
front=far|left=far|right=near|back=near,0,0.0,0.0,0.0,0.0
front=far|left=far|right=near|back=far,0,0.0,0.0,0.0,0.0
front=far|left=far|right=mid|back=near,1,-1.0,-1.0,-1.0,2.0
front=far|left=far|right=mid|back=far,101,0.0842,0.0842,0.0842,3.0842
front=far|left=far|right=far|back=near,0,0.0,0.0,0.0,0.0
front=far|left=far|right=far|back=far,13,0.0,0.0,0.0,3.0
front=far|left=lost|right=near|back=near,0,-1.5,-1.5,-1.5,-1.5
front=far|left=lost|right=near|back=far,0,-1.5,-1.5,-1.5,-1.5
front=far|left=lost|right=mid|back=near,0,-1.5,-1.5,-1.5,-1.5
front=far|left=lost|right=mid|back=far,1,2.5,2.5,2.5,5.5
front=far|left=lost|right=far|back=near,0,-1.5,-1.5,-1.5,-1.5
front=far|left=lost|right=far|back=far,0,-1.5,-1.5,-1.5,-1.5
