state,action,next_state,probability,count
front=near|left=too_close|right=near|back=near,Move-Forward,front=near|left=too_close|right=near|back=near,1.0,0
front=near|left=too_close|right=near|back=near,Slight-Right-Turn,front=near|left=too_close|right=near|back=near,1.0,0
front=near|left=too_close|right=near|back=near,Sharp-Right-Turn,front=near|left=too_close|right=near|back=near,1.0,0
front=near|left=too_close|right=near|back=near,Slight-Left-Turn,front=near|left=too_close|right=near|back=near,1.0,0
front=near|left=too_close|right=near|back=far,Move-Forward,front=near|left=too_close|right=near|back=far,0.703704,0
front=near|left=too_close|right=near|back=far,Move-Forward,front=near|left=too_close|right=far|back=far,0.296296,0
front=near|left=too_close|right=near|back=far,Slight-Right-Turn,front=near|left=too_close|right=near|back=far,0.703704,0
front=near|left=too_close|right=near|back=far,Slight-Right-Turn,front=near|left=too_close|right=far|back=far,0.296296,0
front=near|left=too_close|right=near|back=far,Sharp-Right-Turn,front=near|left=too_close|right=near|back=far,0.703704,19
front=near|left=too_close|right=near|back=far,Sharp-Right-Turn,front=near|left=too_close|right=far|back=far,0.296296,8
front=near|left=too_close|right=near|back=far,Slight-Left-Turn,front=near|left=too_close|right=near|back=far,0.703704,0
front=near|left=too_close|right=near|back=far,Slight-Left-Turn,front=near|left=too_close|right=far|back=far,0.296296,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=near|left=too_close|right=mid|back=near,0.790323,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=near|left=too_close|right=mid|back=far,0.008065,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=near|left=too_close|right=far|back=near,0.056452,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=near|left=too_close|right=far|back=far,0.008065,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=near|left=ideal|right=mid|back=near,0.032258,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=near|left=far|right=mid|back=near,0.024194,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=mid|left=too_close|right=mid|back=near,0.032258,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=far|left=too_close|right=mid|back=near,0.040323,0
front=near|left=too_close|right=mid|back=near,Move-Forward,front=far|left=ideal|right=mid|back=near,0.008065,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=near|left=too_close|right=mid|back=near,0.790323,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=near|left=too_close|right=mid|back=far,0.008065,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=near|left=too_close|right=far|back=near,0.056452,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=near|left=too_close|right=far|back=far,0.008065,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=near|left=ideal|right=mid|back=near,0.032258,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=near|left=far|right=mid|back=near,0.024194,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=mid|left=too_close|right=mid|back=near,0.032258,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=far|left=too_close|right=mid|back=near,0.040323,0
front=near|left=too_close|right=mid|back=near,Slight-Right-Turn,front=far|left=ideal|right=mid|back=near,0.008065,0
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=near,0.790323,98
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=near|left=too_close|right=mid|back=far,0.008065,1
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=near|left=too_close|right=far|back=near,0.056452,7
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=near|left=too_close|right=far|back=far,0.008065,1
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=near|left=ideal|right=mid|back=near,0.032258,4
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=near|left=far|right=mid|back=near,0.024194,3
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=mid|left=too_close|right=mid|back=near,0.032258,4
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=far|left=too_close|right=mid|back=near,0.040323,5
front=near|left=too_close|right=mid|back=near,Sharp-Right-Turn,front=far|left=ideal|right=mid|back=near,0.008065,1
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=near|left=too_close|right=mid|back=near,0.790323,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=near|left=too_close|right=mid|back=far,0.008065,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=near|left=too_close|right=far|back=near,0.056452,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=near|left=too_close|right=far|back=far,0.008065,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=near|left=ideal|right=mid|back=near,0.032258,0
front=near|left=too_close|right=mid|back=near,Slight-Left-Turn,front=near|left=far|right=mid|back=near,0.024194,0
